"Baby	";"Baby	";"das	";"Babys	";;;Nomen
Komponist;Composer;der;Komponisten;;;Nomen
Lebensmittel;food, grocery;das;-;;;Nomen
Liter;liter;der;-;;;Nomen
Markt;Market;der;Märkte;;;Nomen
Milch;milk;die;;;;Nomen
Muzikquiz;music;das;;;;Nomen
Musikstück;piece of music;das;Musikstücke;;;Nomen
Panne;breakdown;die;Pannen;;;Nomen
Pfund;Pound GBP;das;;;;Nomen
Pilz;Mushroom;der;Pilze;;;Nomen
geboren;born;;;;;Nomen
gestorben;dead;;;;;Nomen
genau;correct;;;;;Nomen
bestellen;to order sth;;;;;Nomen
gewinnen;winning;;;;;Nomen
stimmen;to vote;;;;;Nomen
wiegen;weighing;;;;;Nomen
Preis;price;der;Preise;;;Nomen
Quiz;quiz;das;;;;Nomen
Reifenpanne;flat tyre;die;Reifenpannen;;;Nomen
Tomate;tomoto;die;Tomaten;;;Nomen
Zwiebel;onion;die;Zwiebeln;;;Nomen
Abend;evening;der;Abende;;;Nomen
Autor;Author;der;Autoren;;;Nomen
Autorin;Author;die;Autorinnen;;;Nomen
Birne;Pear;die;Birnen;;;Nomen
Butter;Butter;die;;;;Nomen
Durst;thirst;der;;;;Nomen
Eis;ice;das;;;;Nomen
Essig;vinegar;der;;;;Nomen
Fleisch;meat;ds;;;;Nomen
Fotograf;photographer;der;Fotografen;;;Nomen
Fotografin;photographer;die;Fotografinnen;;;Nomen
Hunger;hunger;der;;;;Nomen
Kaffee;coffee;der;Kaffes;;;Nomen
Käse;cheese;der;;;;Nomen
Kohlensäure;carbonation;die;;;;Nomen
Kunststudent;art student;der;Kunststudenten;;;Nomen
Luftmatratze;air mattress;die;Luftmatratzen;;;Nomen
Maler;artist, painter;der;-;;;Nomen
Malerin;artist, painter;die;Malerinnen;;;Nomen
Matratze;Matress;die;Matratzen;;;Nomen
Möbeltischler;cabinet maker;der;-;;;Nomen
Morgen;tomorrow;der;-;;;Nomen
Musiker;musician;der;-;;;Nomen
Musikerin;musician;die;Musikerinnen;;;Nomen
Öl;Oil;das;Öle;;;Nomen
Praktikum;hands on training;das;;;;Nomen
Reis;rice;der;;;;Nomen
Reportage;report;die;Reportagen;;;Nomen
Sahne;cream;die;;;;Nomen
Salat;salad;der;Salate;;;Nomen
Schinken;ham;der;-;;;Nomen
Schwester;sister;die;Schwestern;;;Nomen
Student;student;der;Studenten;;;Nomen
Studentin;student;die;Studentinnen;;;Nomen
Tischler;carpenter;der;-;;;Nomen
Zwilling;twins;der;Zwillinge;;;Nomen
Kursteilnehmer;course participant;der;-;;;Nomen
Alter;age;das;;;;Nomen
Angabe;description;die;Angaben;;;Nomen
Animateur;animator, host;der;Animateure;;;Nomen
Animateurin;animator;die;Animateurinnen;;;Nomen
Arbeit;job;die;Arbeiten;;;Nomen
Arbeitsplatz;workplace;der;Arbeitsplätze;;;Nomen
Ausland;abroad;das;;;;Nomen
Ausländer;foreigner;der;-;;;Nomen
Bewerbung;application;die;Bewerbungen;;;Nomen
Briefmarke;stamp;der;Briefe;;;Nomen
Camping;camping;das;;;;Nomen
Chef;boss;der;Chefs;;;Nomen
Ehemann;husband;der;Ehemänner;;;Nomen
Einwohner;national, resident, populations;der;-;;;Nomen
Einwohnerin;national, resident, populations;die;Einwohnerinnen;;;Nomen
E-Mail;e-mail;die;E-Mails;;;Nomen
Familienstand;family status;der;;;;Nomen
Firma;firm;die;;;;Nomen
Formular;form;das;Formulare;;;Nomen
Freizeit;leisure, free time;die;;;;Nomen
Geburtsort;place of birth;der;Geburtsorte4;;;Nomen
Fussball;football;der;Fussbälle;;;Nomen
Geschlecht;sex;das;Geschlechter;;;Nomen
Gewicht;weight;das;Gewochte;;;Nomen
Gitarre;guitar;die;Gitarren;;;Nomen
Grösse;size, dimension;die;Grössen;;;Nomen
Land;country;das;Länder;;;Nomen
Medizin;medicine;die;;;;Nomen
Medizinstudent;medical studant;der;Medizinstudenten;;;Nomen
Meter;meter;der;-;;;Nomen
seckretärin;secretary;die;Sekretärinnen;;;Nomen
Sprache;language;die;Sprachen;;;Nomen
Staatsangehörigkeit;nationality;die;Staatsangehorigkeiten;;;Nomen
Stelle;job;die;Stellen;;;Nomen
Strasse;street;die;Strassen;;;Nomen
Telefonnummer;call number;die;Telefonnummern;;;Nomen
Tennis;tennis;das;;;;Nomen
Tischtennis;table tennis;das;;;;Nomen
Wohnort;domicile;der;Wohnorte;;;Nomen
Ratespiel;guessing game;das;Ratespiele;;;Nomen
Ergebnis;finding, ourcome, result,;das;Ergebnisse;;;Nomen
Anruf;call;der;"Anrufe	";;;Nomen
Büro;office;das;Büros;;;Nomen
"Chefin	";boss;die;"Chefinnen	";;;Nomen
Fernsehfilm;television film;der;Fernsehfilme;;;Nomen
"Kundendienst	";service;der;;;;Nomen
Mitarbiter;staff;der;-;;;Nomen
"Schlüssel	";key;der;-;;;Nomen
Taube;piegeon;die;Tauben;;;Nomen
Turm;tower;der;Türme;;;Nomen
Waschmaschine;wash machine;die;Waschmaschinen;;;Nomen
Wochenende;weekend;das;Wochenenden;;;Nomen
Bäckerei;bakery;die;Bäckereien;;;Nomen
Bank;Bank;die;Bänke;;;Nomen
Baum;tree;der;Bäume;;;Nomen
Briefträger;postman;der;-;;;Nomen
Buchhändler;bookseller;der;-;;;Nomen
Camper;camper;der;-;;;Nomen
Fisch;fish;der;Fische;;;Nomen
Igel;hedgehog;der;-;;;Nomen
Kellner;waiter;der;-;;;Nomen
Kopf;head;der;Köpfe;;;Nomen
Laterne;lamp;die;Laternen;;;Nomen
Leiter;ladder;die;Leitern;;;Nomen
Mofa;moped;das;Mofas;;;Nomen
Mücke;mosquito;die;Mücken;;;Nomen
Mütze;cap, bonnet;die;Mützen;;;Nomen
Papier;paper;das;Papiere;;;Nomen
Pfarrer;prest;der;-;;;Nomen
Pferd;horse;das;Pferde;;;Nomen
Pfütze;puddle, drink, sea;die;Pfützen;;;Nomen
Puppe;doll;die;Puppen;;;Nomen
Schrank;cupboard;der;Schränke;;;Nomen
Sofa;sofa;das;Sofas;;;Nomen
Stall;barn, building for livestock;der;Ställe;;;Nomen
Teller;plate;Der;-;;;Nomen
Teppich;carpet;der;Teppiche;;;Nomen
Ticket;ticket;das;Tickets;;;Nomen
Tuch;cloth;das;Tücher;;;Nomen
Wurm;worm;der;Würmer;;;Nomen
Apotheke;drug store;die;Apotheken;;;Nomen
Arm;arm;der;Arme;;;Nomen
Ärztin;doctor;die;Ärztinnen;;;Nomen
Arzt;doctor;der;Ärzte;;;Nomen
Arztpraxis;doctor's office;die;Arztpraxen;;;Nomen
Augenarzt;eye doctor;der;Augenärzte;;;Nomen
Autofahrer;driver;der;-;;;Nomen
Bein;leg;das;Beine;;;Nomen
Bericht;report;der;Berichte;;;Nomen
Besucher;guest;der;-;;;Nomen
Blumenhändlerin;floorist;die;Blumenhändlerinnen;;;Nomen
Brust;chest, breast;die;Brüste;;;Nomen
Buchhandlung;boohshop;die;Buchhandlungen;;;Nomen
Doktor;doctor;der;Doktoren;;;Nomen
Eingang;entrance;der;Eingänge;;;Nomen
Fahrer;driver;der;-;;;Nomen
Fahrt;driver;die;Fahrten;;;Nomen
